year,rank,title,distributor,rental_usd,rental_display,film_wikipedia_url,source_page_url,source_table,poster_lookup_status,poster_wikipedia_page_title,poster_wikipedia_file,poster_image_url,poster_thumbnail_url,poster_source_page_url,poster_file_page_url,local_poster_path,last_updated
1951,1,David and Bathsheba,20th Century Fox,7000000,"$7,000,000",https://en.wikipedia.org/wiki/David_and_Bathsheba_(film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,David and Bathsheba (film),David Bathsheba.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/David_Bathsheba.jpg/250px-David_Bathsheba.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/David_Bathsheba.jpg/250px-David_Bathsheba.jpg,https://en.wikipedia.org/wiki/David_and_Bathsheba_%28film%29,https://en.wikipedia.org/wiki/File:David_Bathsheba.jpg,covers/1951_1_david_and_bathsheba.jpg,2026-05-12T03:30:31
1951,2,Show Boat,Metro-Goldwyn-Mayer,5200000,"$5,200,000",https://en.wikipedia.org/wiki/Show_Boat_(1951_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,Show Boat (1951 film),Showboat1951film.jpg,https://upload.wikimedia.org/wikipedia/en/0/02/Showboat1951film.jpg,https://upload.wikimedia.org/wikipedia/en/0/02/Showboat1951film.jpg,https://en.wikipedia.org/wiki/Show_Boat_%281951_film%29,https://en.wikipedia.org/wiki/File:Showboat1951film.jpg,covers/1951_2_show_boat.jpg,2026-05-12T03:30:31
1951,3,An American in Paris,Metro-Goldwyn-Mayer,4500000,"$4,500,000",https://en.wikipedia.org/wiki/An_American_in_Paris_(film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,An American in Paris (film),An American in Paris (1951 film poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/An_American_in_Paris_%281951_film_poster%29.jpg/250px-An_American_in_Paris_%281951_film_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/An_American_in_Paris_%281951_film_poster%29.jpg/250px-An_American_in_Paris_%281951_film_poster%29.jpg,https://en.wikipedia.org/wiki/An_American_in_Paris_%28film%29,https://en.wikipedia.org/wiki/File:An_American_in_Paris_%281951_film_poster%29.jpg,covers/1951_3_an_american_in_paris.jpg,2026-05-12T03:30:31
1951,4,The Great Caruso,Metro-Goldwyn-Mayer,4500000,"$4,500,000",https://en.wikipedia.org/wiki/The_Great_Caruso,https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,The Great Caruso,Great caruso (1951).jpeg,https://upload.wikimedia.org/wikipedia/en/e/e0/Great_caruso_%281951%29.jpeg,https://upload.wikimedia.org/wikipedia/en/e/e0/Great_caruso_%281951%29.jpeg,https://en.wikipedia.org/wiki/The_Great_Caruso,https://en.wikipedia.org/wiki/File:Great_caruso_%281951%29.jpeg,covers/1951_4_the_great_caruso.jpg,2026-05-12T03:30:31
1951,5,A Streetcar Named Desire,Warner Bros.,4250000,"$4,250,000",https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(1951_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,A Streetcar Named Desire (1951 film),A Streetcar Named Desire (1951).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/A_Streetcar_Named_Desire_%281951%29.jpg/250px-A_Streetcar_Named_Desire_%281951%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/A_Streetcar_Named_Desire_%281951%29.jpg/250px-A_Streetcar_Named_Desire_%281951%29.jpg,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_%281951_film%29,https://en.wikipedia.org/wiki/File:A_Streetcar_Named_Desire_%281951%29.jpg,covers/1951_5_a_streetcar_named_desire.jpg,2026-05-12T03:30:31
1951,6,Born Yesterday,Columbia Pictures,4150000,"$4,150,000",https://en.wikipedia.org/wiki/Born_Yesterday_(1950_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,Born Yesterday (1950 film),Born Yesterday (1950 poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Born_Yesterday_%281950_poster%29.jpg/250px-Born_Yesterday_%281950_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Born_Yesterday_%281950_poster%29.jpg/250px-Born_Yesterday_%281950_poster%29.jpg,https://en.wikipedia.org/wiki/Born_Yesterday_%281950_film%29,https://en.wikipedia.org/wiki/File:Born_Yesterday_%281950_poster%29.jpg,covers/1951_6_born_yesterday.jpg,2026-05-12T03:30:31
1951,7,That's My Boy,Paramount Pictures,3800000,"$3,800,000",https://en.wikipedia.org/wiki/That%27s_My_Boy_(1951_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,That's My Boy (1951 film),Thatsmyboy.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Thatsmyboy.jpg/250px-Thatsmyboy.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Thatsmyboy.jpg/250px-Thatsmyboy.jpg,https://en.wikipedia.org/wiki/That%27s_My_Boy_%281951_film%29,https://en.wikipedia.org/wiki/File:Thatsmyboy.jpg,covers/1951_7_that_s_my_boy.jpg,2026-05-12T03:30:31
1951,8,A Place in the Sun,Paramount Pictures,3500000,"$3,500,000",https://en.wikipedia.org/wiki/A_Place_in_the_Sun_(1951_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,A Place in the Sun (1951 film),A Place in the Sun (1951 poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/A_Place_in_the_Sun_%281951_poster%29.jpg/250px-A_Place_in_the_Sun_%281951_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/A_Place_in_the_Sun_%281951_poster%29.jpg/250px-A_Place_in_the_Sun_%281951_poster%29.jpg,https://en.wikipedia.org/wiki/A_Place_in_the_Sun_%281951_film%29,https://en.wikipedia.org/wiki/File:A_Place_in_the_Sun_%281951_poster%29.jpg,covers/1951_8_a_place_in_the_sun.jpg,2026-05-12T03:30:31
1951,9,At War with the Army,Paramount Pictures,3350000,"$3,350,000",https://en.wikipedia.org/wiki/At_War_with_the_Army,https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,At War with the Army,Atwarwiththearmy.jpg,https://upload.wikimedia.org/wikipedia/en/5/5a/Atwarwiththearmy.jpg,https://upload.wikimedia.org/wikipedia/en/5/5a/Atwarwiththearmy.jpg,https://en.wikipedia.org/wiki/At_War_with_the_Army,https://en.wikipedia.org/wiki/File:Atwarwiththearmy.jpg,covers/1951_9_at_war_with_the_army.jpg,2026-05-12T03:30:31
1951,10,Father's Little Dividend,Metro-Goldwyn-Mayer,3100000,"$3,100,000",https://en.wikipedia.org/wiki/Father%27s_Little_Dividend,https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,Father's Little Dividend,Father's Little Dividend.jpg,https://upload.wikimedia.org/wikipedia/en/2/2c/Father%27s_Little_Dividend.jpg,https://upload.wikimedia.org/wikipedia/en/2/2c/Father%27s_Little_Dividend.jpg,https://en.wikipedia.org/wiki/Father%27s_Little_Dividend,https://en.wikipedia.org/wiki/File:Father%27s_Little_Dividend.jpg,covers/1951_10_father_s_little_dividend.jpg,2026-05-12T03:30:31
1952,1,The Greatest Show on Earth,Paramount Pictures,12000000,"$12,000,000",https://en.wikipedia.org/wiki/The_Greatest_Show_on_Earth_(film),https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,The Greatest Show on Earth (film),"Cecil B. DeMille's Greatest ! The Greatest Show on Earth, 1952.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Cecil_B._DeMille%27s_Greatest_%21_The_Greatest_Show_on_Earth%2C_1952.jpg/250px-Cecil_B._DeMille%27s_Greatest_%21_The_Greatest_Show_on_Earth%2C_1952.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Cecil_B._DeMille%27s_Greatest_%21_The_Greatest_Show_on_Earth%2C_1952.jpg/250px-Cecil_B._DeMille%27s_Greatest_%21_The_Greatest_Show_on_Earth%2C_1952.jpg,https://en.wikipedia.org/wiki/The_Greatest_Show_on_Earth_%28film%29,https://en.wikipedia.org/wiki/File:Cecil_B._DeMille%27s_Greatest_%21_The_Greatest_Show_on_Earth%2C_1952.jpg,covers/1952_1_the_greatest_show_on_earth.jpg,2026-05-12T03:39:16
1952,2,Quo Vadis,Metro-Goldwyn-Mayer,10500000,"$10,500,000",https://en.wikipedia.org/wiki/Quo_Vadis_(1951_film),https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,Quo Vadis (1951 film),Poster - Quo Vadis (1951) 01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Poster_-_Quo_Vadis_%281951%29_01.jpg/250px-Poster_-_Quo_Vadis_%281951%29_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Poster_-_Quo_Vadis_%281951%29_01.jpg/250px-Poster_-_Quo_Vadis_%281951%29_01.jpg,https://en.wikipedia.org/wiki/Quo_Vadis_%281951_film%29,https://en.wikipedia.org/wiki/File:Poster_-_Quo_Vadis_%281951%29_01.jpg,covers/1952_2_quo_vadis.jpg,2026-05-12T03:39:16
1952,3,Ivanhoe,Metro-Goldwyn-Mayer,7000000,"$7,000,000",https://en.wikipedia.org/wiki/Ivanhoe_(1952_film),https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,Ivanhoe (1952 film),Ivanhoe (1952 movie poster).jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Ivanhoe_%281952_movie_poster%29.jpg/250px-Ivanhoe_%281952_movie_poster%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Ivanhoe_%281952_movie_poster%29.jpg/250px-Ivanhoe_%281952_movie_poster%29.jpg,https://en.wikipedia.org/wiki/Ivanhoe_%281952_film%29,https://en.wikipedia.org/wiki/File:Ivanhoe_%281952_movie_poster%29.jpg,covers/1952_3_ivanhoe.jpg,2026-05-12T03:39:16
1952,4,The Snows of Kilimanjaro,20th Century Fox,6500000,"$6,500,000",https://en.wikipedia.org/wiki/The_Snows_of_Kilimanjaro_(1952_film),https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,The Snows of Kilimanjaro (1952 film),The Snows of Kilimanjaro.jpg,https://upload.wikimedia.org/wikipedia/en/1/14/The_Snows_of_Kilimanjaro.jpg,https://upload.wikimedia.org/wikipedia/en/1/14/The_Snows_of_Kilimanjaro.jpg,https://en.wikipedia.org/wiki/The_Snows_of_Kilimanjaro_%281952_film%29,https://en.wikipedia.org/wiki/File:The_Snows_of_Kilimanjaro.jpg,covers/1952_4_the_snows_of_kilimanjaro.jpg,2026-05-12T03:39:16
1952,5,Sailor Beware,Paramount Pictures,4300000,"$4,300,000",https://en.wikipedia.org/wiki/Sailor_Beware_(1952_film),https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,Sailor Beware (1952 film),Sailorbeware.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Sailorbeware.jpg/250px-Sailorbeware.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Sailorbeware.jpg/250px-Sailorbeware.jpg,https://en.wikipedia.org/wiki/Sailor_Beware_%281952_film%29,https://en.wikipedia.org/wiki/File:Sailorbeware.jpg,covers/1952_5_sailor_beware.jpg,2026-05-12T03:39:16
1952,6,The African Queen,United Artists,4000000,"$4,000,000",https://en.wikipedia.org/wiki/The_African_Queen_(film),https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,The African Queen,The African Queen (1952 US poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/The_African_Queen_%281952_US_poster%29.jpg/250px-The_African_Queen_%281952_US_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/The_African_Queen_%281952_US_poster%29.jpg/250px-The_African_Queen_%281952_US_poster%29.jpg,https://en.wikipedia.org/wiki/The_African_Queen_%28film%29,https://en.wikipedia.org/wiki/File:The_African_Queen_%281952_US_poster%29.jpg,covers/1952_6_the_african_queen.jpg,2026-05-12T03:39:16
1952,7,Jumping Jacks,Paramount Pictures,4000000,"$4,000,000",https://en.wikipedia.org/wiki/Jumping_Jacks,https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,Jumping Jacks,Jumpingjacks.jpg,https://upload.wikimedia.org/wikipedia/en/8/83/Jumpingjacks.jpg,https://upload.wikimedia.org/wikipedia/en/8/83/Jumpingjacks.jpg,https://en.wikipedia.org/wiki/Jumping_Jacks,https://en.wikipedia.org/wiki/File:Jumpingjacks.jpg,covers/1952_7_jumping_jacks.jpg,2026-05-12T03:39:16
1952,8,High Noon,United Artists,3400000,"$3,400,000",https://en.wikipedia.org/wiki/High_Noon,https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,High Noon,High Noon (1952 poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/High_Noon_%281952_poster%29.jpg/250px-High_Noon_%281952_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/High_Noon_%281952_poster%29.jpg/250px-High_Noon_%281952_poster%29.jpg,https://en.wikipedia.org/wiki/High_Noon,https://en.wikipedia.org/wiki/File:High_Noon_%281952_poster%29.jpg,covers/1952_8_high_noon.jpg,2026-05-12T03:39:16
1952,9,Son of Paleface,Paramount Pictures,3400000,"$3,400,000",https://en.wikipedia.org/wiki/Son_of_Paleface,https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,Son of Paleface,Son of Paleface.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Son_of_Paleface.jpg/250px-Son_of_Paleface.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Son_of_Paleface.jpg/250px-Son_of_Paleface.jpg,https://en.wikipedia.org/wiki/Son_of_Paleface,https://en.wikipedia.org/wiki/File:Son_of_Paleface.jpg,covers/1952_9_son_of_paleface.jpg,2026-05-12T03:39:16
1952,10,Singin' in the Rain,Metro-Goldwyn-Mayer,3300000,"$3,300,000",https://en.wikipedia.org/wiki/Singin%27_in_the_Rain,https://en.wikipedia.org/wiki/List_of_1952_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1952,ok,Singin' in the Rain,Singin' in the Rain (1952 poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Singin%27_in_the_Rain_%281952_poster%29.jpg/250px-Singin%27_in_the_Rain_%281952_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Singin%27_in_the_Rain_%281952_poster%29.jpg/250px-Singin%27_in_the_Rain_%281952_poster%29.jpg,https://en.wikipedia.org/wiki/Singin%27_in_the_Rain,https://en.wikipedia.org/wiki/File:Singin%27_in_the_Rain_%281952_poster%29.jpg,covers/1952_10_singin_in_the_rain.jpg,2026-05-12T03:39:16
1953,1,The Robe,20th Century Fox,2030000000,"$20–30,000,000",https://en.wikipedia.org/wiki/The_Robe_(film),https://en.wikipedia.org/wiki/List_of_1953_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1953,ok,The Robe (film),The Robe (1953 movie poster).jpg,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/The_Robe_%281953_movie_poster%29.jpg/250px-The_Robe_%281953_movie_poster%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/The_Robe_%281953_movie_poster%29.jpg/250px-The_Robe_%281953_movie_poster%29.jpg,https://en.wikipedia.org/wiki/The_Robe_%28film%29,https://en.wikipedia.org/wiki/File:The_Robe_%281953_movie_poster%29.jpg,covers/1953_1_the_robe.jpg,2026-05-12T03:39:37
1953,2,From Here to Eternity,Columbia Pictures,12500000,"$12,500,000",https://en.wikipedia.org/wiki/From_Here_to_Eternity,https://en.wikipedia.org/wiki/List_of_1953_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1953,ok,From Here to Eternity,From Here to Eternity (1953 poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/From_Here_to_Eternity_%281953_poster%29.jpg/250px-From_Here_to_Eternity_%281953_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/From_Here_to_Eternity_%281953_poster%29.jpg/250px-From_Here_to_Eternity_%281953_poster%29.jpg,https://en.wikipedia.org/wiki/From_Here_to_Eternity,https://en.wikipedia.org/wiki/File:From_Here_to_Eternity_%281953_poster%29.jpg,covers/1953_2_from_here_to_eternity.jpg,2026-05-12T03:39:37
1953,3,Shane,Paramount Pictures,8000000,"$8,000,000",https://en.wikipedia.org/wiki/Shane_(film),https://en.wikipedia.org/wiki/List_of_1953_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1953,ok,Shane (film),Shane (1953 poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Shane_%281953_poster%29.jpg/250px-Shane_%281953_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Shane_%281953_poster%29.jpg/250px-Shane_%281953_poster%29.jpg,https://en.wikipedia.org/wiki/Shane_%28film%29,https://en.wikipedia.org/wiki/File:Shane_%281953_poster%29.jpg,covers/1953_3_shane.jpg,2026-05-12T03:39:37
1953,4,How to Marry a Millionaire,20th Century Fox,7500000,"$7,500,000",https://en.wikipedia.org/wiki/How_to_Marry_a_Millionaire,https://en.wikipedia.org/wiki/List_of_1953_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1953,ok,How to Marry a Millionaire,How to marry a millionaire 1953 poster.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/How_to_marry_a_millionaire_1953_poster.jpg/250px-How_to_marry_a_millionaire_1953_poster.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/How_to_marry_a_millionaire_1953_poster.jpg/250px-How_to_marry_a_millionaire_1953_poster.jpg,https://en.wikipedia.org/wiki/How_to_Marry_a_Millionaire,https://en.wikipedia.org/wiki/File:How_to_marry_a_millionaire_1953_poster.jpg,covers/1953_4_how_to_marry_a_millionaire.jpg,2026-05-12T03:39:37
